id,fw,iw,white,female,quintile,pquintile
250003,29,46.605,1,1,2,2
250004,29,47.921001,1,0,2,2
257005,32,50.707001,1,0,4,1
263005,42,93.869003,1,1,3,3
280003,31,59.576,1,0,3,4
280004,31,62.855,1,0,2,4
280006,31,51.825001,1,1,4,4
284003,36,69.320999,1,0,5,4
284004,36,60.917999,1,0,4,4
301005,42,76.363998,1,1,3,4
306003,34,51.661999,1,0,1,2
308004,17,52.799,1,0,5,4
311003,19,61.632999,1,1,2,2
315003,34,48.297001,1,0,3,3
318003,46,65.668999,1,1,3,2
319003,34,54.823002,1,1,1,2
319004,34,49.785,1,1,2,2
320003,34,51.236,1,0,2,3
323003,42,69.916,1,0,5,5
323004,42,65.939003,1,1,5,5
323005,42,71.191002,1,0,2,5
326003,34,42.623001,1,0,5,2
326004,34,43.833,1,1,2,2
327003,36,58.301998,1,1,2,4
331003,38,64.158997,1,1,4,5
331005,38,59.013,1,1,4,5
344006,16.5,64.169998,1,1,3,3
350003,31,50.036999,1,1,2,4
351003,33,54.144001,1,1,3,3
351004,33,56.139999,1,1,4,3
351006,33,61.796001,1,1,2,3
355003,34,50.014999,1,1,3,4
355004,34,55.429001,1,0,4,4
356003,35,57.087002,1,1,4,5
361003,24,43.155998,1,0,2,5
361004,24,42.362999,1,0,4,5
375004,34,57.748001,1,0,1,5
391003,42,69.033997,1,1,5,5
414003,34,65.749001,1,1,3,3
414005,34,53.124001,1,1,5,3
414006,34,53.138,1,1,4,3
419002,5,11.134,0,1,1,1
419004,5,11.108,0,0,3,1
423003,23,47.352001,1,0,3,2
423004,23,42.442001,1,0,3,2
428004,34,50.074001,1,0,4,5
431004,34,56.992001,1,0,1,4
431005,34,58.771,1,0,1,4
432004,42,66.211998,1,0,2,3
433008,28,47.693001,1,1,1,1
442003,31,52.562,1,0,2,3
443003,35,67.055,1,0,1,1
449003,39,62.199001,0,1,1,1
450004,31,55.028999,1,0,3,2
450005,31,49.979,1,1,5,2
450021,31,60.762001,1,0,1,2
455003,16,43.605999,1,1,1,4
459004,31,53.639999,1,0,4,3
467003,16,36.837002,1,1,1,4
473004,35,66.628998,1,1,2,2
473021,35,61.708,1,0,5,2
478004,38,67.808998,1,1,2,1
479003,38,64.526001,1,0,3,2
486004,30,55.516998,1,0,1,3
487004,22,41.062,1,1,1,3
487005,22,66.804001,1,0,1,3
508004,30,53.096001,1,1,3,2
510003,42,71.726997,1,0,2,3
516002,45,88.305,1,0,4,2
