id,fw,iw,white,female,wealthqr,pwealthqr,wealthqn,pwealthqn,wealthtr,pwealthtr,wealthpr,pwealthpr
517008,42,76.606003,1,0,1,4,1,5,1,3,13,95
536005,23,39.019001,1,1,2,2,2,2,2,2,37,38
546003,34,46.669998,1,0,1,2,1,3,1,2,8,41
548007,34,55.016998,1,0,4,3,4,4,3,3,78,73
548008,34,54.745998,1,0,4,3,5,4,3,3,95,73
548009,34,62.551998,1,0,2,3,3,4,2,3,42,73
556004,23,38.851002,1,1,3,2,3,2,2,1,52,26
563003,32,53.349998,1,1,3,1,3,1,2,1,56,15
563005,32,52.696999,1,1,2,1,2,1,2,1,39,15
563006,32,52.861,1,0,2,1,3,1,2,1,48,15
563007,32,50.265999,1,1,1,1,1,1,1,1,13,15
565004,17,54.903,1,1,4,1,5,2,3,1,88,23
577004,17,63.681,1,1,2,2,3,3,2,2,41,43
586003,16,59.647999,1,1,1,1,1,1,1,1,20,7
586004,16,51.257999,1,1,1,1,1,1,1,1,4,7
593003,34,59.207001,1,0,4,3,4,4,3,2,76,64
593004,34,53.165001,1,1,4,3,5,4,3,2,97,64
605003,30,50.876999,1,1,4,4,5,5,3,3,95,93
607005,36,56.353001,1,1,2,4,2,5,2,3,36,100
607007,36,57.476002,1,1,1,4,1,5,1,3,12,100
608003,34,65.558998,1,1,4,4,5,5,3,3,83,88
613003,32,45.554001,1,0,4,4,5,5,3,3,97,89
618004,42,68.163002,1,1,3,4,4,4,2,3,66,76
620004,42,68.454002,1,1,4,3,5,4,3,2,95,65
620005,42,68.885002,1,1,3,3,4,4,2,2,62,65
620006,42,68.608002,1,1,3,3,4,4,3,2,72,65
625003,16,53.686001,1,0,4,2,5,3,3,2,91,46
625004,16,51.814999,1,0,1,2,2,3,1,2,21,46
625005,16,58.417999,1,1,1,2,1,3,1,2,16,46
626003,17.5,61.174999,1,1,4,3,4,3,3,2,78,51
626004,17.5,45.116001,1,1,2,3,2,3,1,2,28,51
626005,17.5,53.695999,1,1,1,3,1,3,1,2,3,51
626006,17.5,59.042,1,1,1,3,1,3,1,2,15,51
626007,17.5,58.327999,1,1,2,3,2,3,1,2,26,51
632003,33,45.924,1,0,1,3,1,4,1,3,17,69
634005,35,51.988998,1,0,2,1,2,1,1,1,28,15
634006,35,52.728001,1,1,2,1,3,1,2,1,49,15
634007,35,54.027,1,1,2,1,3,1,2,1,46,15
634008,35,52.139999,1,1,2,1,2,1,1,1,30,15
636003,34,53.749001,1,0,2,2,3,3,2,2,44,46
639005,18,57.112,1,0,1,1,1,1,1,1,14,13
639006,18,61.022999,1,0,2,1,2,1,1,1,28,13
649003,35,54.313,1,1,3,3,3,3,2,2,59,60
652003,31,50.368999,1,1,4,3,5,3,3,2,84,53
652006,31,53.562,1,0,3,3,4,3,3,2,71,53
655003,34,56.527,1,0,4,4,5,5,3,3,85,93
655004,34,63.347,1,0,4,4,5,5,3,3,95,93
656003,34,53.417,1,1,3,4,4,5,2,3,65,96
656004,34,56.089001,1,1,3,4,4,5,3,3,70,96
656005,34,54.075001,1,1,3,4,3,5,2,3,52,96
657003,42,80.332001,1,1,4,1,4,1,3,1,78,19
657004,42,68.977997,1,0,3,1,4,1,3,1,71,19
657005,42,75.121002,1,0,1,1,2,1,1,1,23,19
660004,42,64.839996,1,0,4,4,5,4,3,3,81,79
672003,26,43.352001,1,1,1,3,1,4,1,2,11,66
674003,31,54.154999,1,0,1,3,2,4,1,2,24,62
677004,9,15.172,1,1,1,2,1,2,1,2,15,38
677005,9,15.692,1,0,3,2,3,2,2,2,51,38
682004,27,44.627998,1,0,1,1,2,1,1,1,21,8
691003,34,63.702,1,0,3,4,4,5,3,3,74,91
691004,34,54.271,1,0,4,4,5,5,3,3,96,91
691005,34,62.827999,1,0,3,4,4,5,3,3,69,91
691006,34,63.929001,1,0,3,4,4,5,3,3,73,91
692004,22,36.931999,1,0,4,3,5,3,3,2,82,55
692005,22,34.490002,1,1,4,3,4,3,3,2,76,55
692007,22,34.983002,1,1,4,3,4,3,3,2,78,55
698004,35,48.290001,1,0,4,4,5,4,3,3,92,76
698007,35,54.93,1,1,3,4,4,4,2,3,62,76
699004,35,54.889,1,1,2,1,2,1,2,1,35,12
700003,26.5,51.041,1,0,1,3,1,4,1,2,16,67
700004,26.5,55.976002,1,0,4,3,5,4,3,2,86,67
703002,34,53.587002,1,1,4,1,5,1,3,1,81,18
704003,34,54.981998,1,1,3,4,4,5,2,3,65,82
707003,35,71.213997,1,0,2,2,2,3,1,2,29,43
709004,30,47.201,1,0,2,2,2,2,1,1,34,29
709005,30,61.747002,1,1,2,2,2,2,2,1,36,29
709006,30,53.018002,1,1,4,2,4,2,3,1,78,29
709007,30,50.039001,1,1,3,2,3,2,2,1,56,29
711003,38,62.289001,1,1,1,3,1,4,1,2,6,63
711004,38,62.658001,1,0,2,3,3,4,2,2,44,63
712006,33,50.727001,1,1,4,3,4,4,3,3,77,68
713005,33,41.691002,1,0,1,2,2,3,1,2,25,42
713006,33,54.292999,1,0,3,2,4,3,3,2,74,42
717003,34,37.014,1,1,2,3,3,3,2,2,49,59
717004,34,57.486,1,0,2,3,3,3,2,2,49,59
717021,34,58.967999,1,1,4,3,4,3,3,2,76,59
722003,35,61.549,1,0,3,3,3,4,2,3,59,72
726003,36,68.282997,1,1,3,3,3,3,2,2,54,59
727003,44,79.273003,0,1,3,1,4,2,3,1,70,21
729003,33,58.389,1,0,1,1,1,1,1,1,19,14
729004,33,55.902,1,1,3,1,4,1,2,1,61,14
729005,33,51.821999,1,1,3,1,3,1,2,1,57,14
729006,33,55.140999,1,0,2,1,2,1,1,1,27,14
732004,6,13.416,0,1,1,1,1,1,1,1,5,3
733003,34,62.462002,1,0,2,3,3,3,2,2,50,54
733005,34,53.172001,1,1,3,3,3,3,2,2,54,54
734004,18,29.493999,1,0,4,4,5,5,3,3,93,91
734005,18,28.332001,1,1,4,4,5,5,3,3,89,91
749003,18,54.742001,1,0,2,1,2,1,2,1,38,1
750003,34,45.612,1,1,3,3,3,3,2,2,58,57
750004,34,55.104,1,0,3,3,4,3,2,2,62,57
750005,34,56.257,1,0,1,3,2,3,1,2,24,57
762003,46,85.545998,1,0,1,2,1,3,1,2,5,47
762004,46,69.709,1,1,4,2,4,3,3,2,76,47
769003,33,51.720001,1,1,3,3,3,4,2,2,51,65
769004,33,52.324001,1,1,2,3,2,4,2,2,40,65
771003,35,52.938999,1,1,1,2,1,2,1,1,5,29
771030,35,59.784,1,1,2,2,2,2,1,1,31,29
773003,32,51.916,1,1,1,2,1,3,1,2,6,48
775004,34,54.801998,1,1,3,4,3,5,2,3,51,85
776003,34,63.022999,1,0,2,4,3,5,2,3,48,88
777004,34,63.714001,1,1,4,2,5,3,3,2,87,45
783003,45,73.989998,1,1,4,4,5,5,3,3,89,100
783004,45,74.246002,1,0,4,4,5,5,3,3,96,100
796005,36,56.084999,1,1,2,2,2,2,2,2,37,36
796006,36,68.389999,1,0,1,2,2,2,1,2,21,36
